data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/08/29	13:02:47	7.01164078094	7.08073026295	6.96117931822	6.89775949568	6.85940734169	6.89754627551	6.99498987685	7.3429360198	21.8958916858	21.7711109851	21.8465472412	21.8815359406	21.9804204706	21.8587628662	21.8703533948	21.9109202448	
2017/08/29	13:02:49	7.0121470846	7.08108039242	6.9617425975	6.89912325624	6.85948008185	6.897529512	6.99580083263	7.34335860066	21.9141697919	21.7858675555	21.8587771814	21.9001528394	21.9872917596	21.8728847968	21.88239008	21.9260776404	
2017/08/29	13:02:51	7.0118205325	7.08089960494	6.96134691758	6.89944111426	6.85907233931	6.89692584608	6.99637567874	7.34296586726	21.9229187561	21.7926100079	21.8655100903	21.9111516736	21.9891551196	21.8817769128	21.8875578619	21.9338961176	
2017/08/29	13:02:53	7.01117982808	7.08025142022	6.96051109473	6.89918110532	6.85822068102	6.89589076015	6.9967251966	7.34240667246	21.9272610291	21.7963295703	21.8696901245	21.918228147	21.9898470203	21.8878918829	21.8904900891	21.9398059033	
2017/08/29	13:02:55	7.01039927165	7.07947997079	6.95954634821	6.8988517813	6.85737654764	6.89499216945	6.99688325807	7.34163018712	21.9296779095	21.798285979	21.8723718359	21.9229545441	21.9898183899	21.8916997223	21.8916782495	21.943449118	
2017/08/29	13:02:57	7.00956839678	7.078710049	6.95863291895	6.89833558718	6.8562560403	6.89415138098	6.99691626773	7.34061600366	21.9311499878	21.7997962311	21.8742829132	21.9260943414	21.9900116449	21.8949802856	21.8928019916	21.9460353949	
2017/08/29	13:02:58	7.00853286716	7.07787309222	6.95755817999	6.89774309806	6.85515060622	6.89247065118	6.99675315102	7.33953890588	21.9316581769	21.7999871002	21.8748412054	21.9277382019	21.9894151788	21.8971251776	21.8927471167	21.9472712726	
2017/08/29	13:03:00	7.00772405473	7.07698862441	6.95634704907	6.89734405822	6.8539817736	6.89171258699	6.99668270004	7.33852935455	21.9317321387	21.8002567029	21.8754901605	21.9288380853	21.9893865485	21.8985304517	21.8929451434	21.9482971942	
2017/08/29	13:03:02	7.00704212346	7.07644331523	6.95547584582	6.89695467978	6.852790677	6.89092703398	6.99657427683	7.33745480452	21.931567514	21.8002352301	21.8757048883	21.9297160834	21.9886803326	21.8995134277	21.8928711816	21.9487361932	
2017/08/29	13:03:04	7.00642294066	7.0758149327	6.95423171329	6.89667715839	6.85096405212	6.8903338345	6.99650243573	7.33658392642	21.9318084863	21.8002209149	21.8753517804	21.9303053918	21.9881840729	21.9002339587	21.8923868512	21.9491823499	
2017/08/29	13:03:06	7.00588232639	7.0755653665	6.95328100308	6.89644673487	6.84973668831	6.88992692849	6.99637009657	7.33558482071	21.9311261292	21.8002924908	21.8752301013	21.930532049	21.9876257806	21.901178761	21.8921339496	21.9493589038	
2017/08/29	13:03:08	7.00523917994	7.07536051474	6.9523843296	6.89606595424	6.84889012038	6.88950462261	6.99667391856	7.33478074289	21.9309376459	21.8000944641	21.8748769934	21.9305368207	21.9870269287	21.9023693073	21.8918309448	21.949425708	
2017/08/29	13:03:09	7.00477769745	7.07552951427	6.95107974887	6.8957659668	6.84817112556	6.88935133578	6.99669179241	7.33400202491	21.9299809143	21.8002137573	21.8739727509	21.9306656573	21.9863565009	21.902479057	21.8915517987	21.9490726001	
2017/08/29	13:03:11	7.00423121605	7.07550604588	6.9501197708	6.89572271931	6.84712127403	6.88940554827	6.99686839717	7.33315347526	21.9295514587	21.799815318	21.8734908063	21.9306441846	21.9855572363	21.9021593512	21.890967262	21.9489079755	
2017/08/29	13:03:14	7.00397529423	7.07560628599	6.94950311172	6.89516422707	6.84598007808	6.88949782164	6.99707450145	7.33249705801	21.929405921	21.7996268347	21.8728442371	21.9308278961	21.9848104608	21.9030802948	21.8906785724	21.9485596393	
2017/08/29	13:03:16	7.00368884207	7.07662578778	6.94785383975	6.89503843332	6.84502954444	6.89037799279	6.99741828097	7.33179770389	21.9282845648	21.7990995587	21.8715105389	21.9300668054	21.9836580884	21.902655611	21.8894665533	21.947633924	
2017/08/29	13:03:19	7.00359740556	7.07763607055	6.94699657137	6.89512507649	6.84414851542	6.89136796876	6.99776074936	7.33120387008	21.9277286584	21.7982788214	21.8706277692	21.9295920184	21.9828874542	21.901863504	21.888645816	21.9471090338	
2017/08/29	13:03:22	7.0038465768	7.07771095537	6.94817662317	6.89528806733	6.84332996946	6.89286436955	6.99806490251	7.33079395237	21.9266335468	21.7974294537	21.8690507129	21.9284348743	21.9817326959	21.9011167285	21.887293031	21.9460139221	
2017/08/29	13:03:25	7.00348193999	7.07673715537	6.94921378853	6.89534596562	6.84326417738	6.89361730477	6.99868311388	7.33034013615	21.9254931036	21.7973626495	21.8674378687	21.9281533423	21.9807735785	21.9005393494	21.8861024847	21.9451287665	
2017/08/29	13:03:28	7.0034795397	7.07387888668	6.95254375404	6.89593859119	6.84336226568	6.89393600392	6.9990220456	7.33046544824	21.9248847083	21.7962627661	21.8666266748	21.9275544904	21.9794398804	21.9002769043	21.8849405688	21.9442030511	
2017/08/29	13:03:31	7.00274812644	7.06954564939	6.95264564762	6.89650465585	6.84532200765	6.89401406772	6.99925249978	7.33113197396	21.9235987274	21.7958571692	21.8653907971	21.92713935	21.978778996	21.8998307477	21.8843512604	21.9433250531	
2017/08/29	13:03:33	7.00188050247	7.06316973079	6.95411367433	6.89725722907	6.84798312903	6.89447692555	6.99880685527	7.33163586146	21.9216256177	21.7949696277	21.8640332404	21.9263520148	21.9778079492	21.8994752539	21.8834016864	21.9415356549	
2017/08/29	13:03:36	7.00298063959	7.06121020151	6.95580994434	6.89801677609	6.85166076469	6.8949160287	6.99897812925	7.33237601964	21.9208597552	21.7936908044	21.8627639606	21.9259034723	21.9768774622	21.8987380219	21.8831440131	21.9404715594	
2017/08/29	13:03:39	7.0045835864	7.06597634899	6.95707701016	6.89887356689	6.854918068	6.89530941869	6.9985133929	7.33318243454	21.9200056158	21.7933782562	21.8611940619	21.9252139575	21.975808595	21.898120083	21.8819129071	21.9394456378	
2017/08/29	13:03:41	7.00481739484	7.07014127622	6.95758945655	6.90000372608	6.85875826741	6.89551457961	6.99777179336	7.33277395768	21.9189963953	21.7925646765	21.8602063141	21.9246866815	21.9751071509	21.8974186389	21.881158974	21.9385175366	
2017/08/29	13:03:44	7.00535267875	7.07199309736	6.95789190123	6.90111050463	6.86234977812	6.89521204094	6.99560059797	7.33349518245	21.9179800171	21.791588858	21.8588511432	21.9241283893	21.9739667078	21.896626532	21.8800710199	21.9371552081	
2017/08/29	13:03:47	7.00594615821	7.07053256	6.95786353415	6.90227643331	6.86256135905	6.8951904421	6.99276216883	7.33463268613	21.9167250525	21.7908253815	21.857290788	21.9237227924	21.9728572809	21.8958725989	21.8791333752	21.9360624823	
2017/08/29	13:03:49	7.00640921491	7.07420811652	6.95770505285	6.90291739193	6.86271095458	6.8950428479	6.9864857274	7.33564233321	21.9159234021	21.7897135687	21.8558521118	21.9223795508	21.9713565723	21.8949874432	21.8782291327	21.9350150879	
2017/08/29	13:03:51	7.00669238481	7.07423006996	6.9576041072	6.90350400827	6.8628258782	6.89447269107	6.97891242225	7.33655317176	21.9158255817	21.7895059985	21.8554178845	21.922393866	21.9712086487	21.8944410803	21.8780907526	21.9345999475	
2017/08/29	13:03:54	7.0069087011	7.07429962733	6.95754742297	6.9041557616	6.86283379608	6.89292054695	6.96866617625	7.33750654438	21.9151479962	21.7888045544	21.8545637451	21.9217353674	21.9705406067	21.8939257336	21.8774131671	21.9336861615	
2017/08/29	13:03:56	7.00727141953	7.07415830029	6.95753718727	6.90660474852	6.86283060726	6.89366877922	6.9649467505	7.33845963833	21.9139669934	21.7876259375	21.8531823297	21.9212534229	21.9695361578	21.8929618445	21.8767236523	21.9328654242	
2017/08/29	13:03:58	7.00764439338	7.07407507416	6.95751460803	6.9092897365	6.86313986562	6.89286707052	6.96634533129	7.33906883696	21.9129100555	21.7874469977	21.8515694855	21.9207476196	21.9685293231	21.8922102972	21.8757883936	21.9320733173	
2017/08/29	13:04:00	7.00787358441	7.07408482989	6.95739454075	6.90998126333	6.8631402736	6.89233747626	6.96768279954	7.33976894206	21.9127669037	21.7872227264	21.8509992639	21.9201750122	21.9682120032	21.8918643469	21.875165683	21.9311953192	
2017/08/29	13:04:02	7.00809778331	7.0740071664	6.95739393966	6.91050665222	6.86311687193	6.8925291225	6.97019756725	7.3402819384	21.9115429553	21.7866644342	21.8505721942	21.9198529205	21.9676036078	21.8909171588	21.8741970221	21.9304103699	
2017/08/29	13:04:06	7.0085160523	7.07408581161	6.95738741913	6.91070026155	6.8632778725	6.89239805628	6.97500277394	7.34086386445	21.9108367395	21.7861729462	21.8498349622	21.9196262634	21.9667232239	21.8902515027	21.8734001434	21.9295419153	
2017/08/29	13:04:08	7.00870600103	7.07405206232	6.95739564029	6.91081054355	6.8633444355	6.89247572559	6.99235822386	7.34158374877	21.9102140289	21.7852663177	21.8486611169	21.9191872644	21.9655994818	21.889261369	21.872951601	21.9286519879	
2017/08/29	13:04:11	7.00874260362	7.07402283081	6.95730318389	6.91078352152	6.86354419043	6.89378079496	7.00177488632	7.34174571087	21.9093980634	21.7847247266	21.8480073901	21.918719635	21.9647525	21.8877272583	21.8716751636	21.9274280396	
2017/08/29	13:04:15	7.00881248082	7.07393815963	6.9571353549	6.9111067388	6.863536066	6.89345809408	7.00358491559	7.34201060811	21.9083363538	21.7841139453	21.8469146643	21.9182305328	21.9636072852	21.8876676117	21.8710405237	21.9266407043	
2017/08/29	13:04:17	7.00889777859	7.07381787395	6.95699825574	6.91122265397	6.86348886716	6.89311937677	7.01058133802	7.34251824934	21.9075394751	21.7828971545	21.845759906	21.9175052301	21.9625956787	21.8865128534	21.869997901	21.925505033	
2017/08/29	13:04:20	7.00885563649	7.07396269569	6.95704132851	6.91130271162	6.86334984278	6.89290768107	7.00911525615	7.34286652008	21.9067903137	21.7820573303	21.8446838812	21.9174312683	21.9620230713	21.8857446051	21.8694038208	21.9246365784	
