data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/06/25	00:00:00	7.49966574214	7.48649112593	7.22678103736	7.01743097425	6.79675760071	6.66048238865	6.62962251551	6.77335185068	22.9948637085	22.8356693018	23.1049283984	23.0730031488	22.9847023126	22.9316454633	22.964482113	22.995118996	
2017/06/25	00:00:06	7.49967887308	7.48630059578	7.22687488782	7.01753171714	6.79685358714	6.66035411924	6.62972420085	6.77340906251	22.9955389081	22.8361011432	23.1049999744	23.0735137238	22.9844756555	22.9317361261	22.9648089764	22.9957941956	
2017/06/25	00:00:12	7.49972766361	7.48635269341	7.22670636293	7.01744950908	6.79666653787	6.66044024337	6.62968507544	6.77333643728	22.9947635022	22.8358864154	23.1041434491	23.0733204688	22.9841821942	22.9313710889	22.9643103308	22.9953170227	
2017/06/25	00:00:18	7.49983993021	7.48640800006	7.22666204356	7.01742221916	6.79676059126	6.66044506764	6.62967252702	6.77347297961	22.9950354907	22.8360057086	23.1042317261	23.0732655939	22.9843205743	22.9316740936	22.9643461188	22.9954339301	
2017/06/25	00:00:24	7.49965590759	7.4863909836	7.22674826457	7.01749815398	6.7967272925	6.66041433859	6.62981068124	6.77343925734	22.9955985547	22.8362609961	23.1046993555	23.0734588489	22.9847094702	22.9317742999	22.9650738074	22.9956080981	
2017/06/25	00:00:29	7.49969299048	7.48635368936	7.22676682552	7.01741551607	6.79662174287	6.66051642329	6.62956074423	6.77343159762	22.9953408813	22.8355452368	23.1045251874	23.0728552252	22.9842179822	22.9315285559	22.964694455	22.9955365222	
2017/06/25	00:00:35	7.49970986759	7.48606624507	7.22691008193	7.01750990406	6.79678558532	6.66066459094	6.62956290021	6.77347249712	22.9954148431	22.835893573	23.1050500775	23.0730007629	22.9845782477	22.9314689093	22.9646968408	22.9956939893	
2017/06/25	00:00:41	7.49975172497	7.48623873188	7.22688126522	7.01737194237	6.79662904302	6.66060644975	6.62959872107	6.7735514181	22.9950688928	22.8358959589	23.1052147021	23.0730842682	22.9842418408	22.931561958	22.9649831445	22.9956510437	
2017/06/25	00:00:47	7.49974533847	7.48647485888	7.22703395308	7.0175044448	6.79670090875	6.66047063617	6.62954072389	6.77344545871	22.9956963751	22.8362776971	23.1051765283	23.0732608221	22.9842251398	22.9318721204	22.9648543079	22.9956749023	
2017/06/25	00:00:53	7.49966895194	7.48625895222	7.22689596622	7.01739286129	6.79682530527	6.66043309028	6.62953663194	6.7735218954	22.9956033264	22.8365115118	23.1052791205	23.0733729578	22.9844995142	22.9320558319	22.9647397864	22.9961854773	
2017/06/25	00:00:59	7.49983345814	7.48625238581	7.22690755474	7.01749580887	6.79693549579	6.66040558604	6.62953952973	6.77344498382	22.9958085107	22.836614104	23.1056489294	23.0733538708	22.9845925629	22.932036745	22.9650070032	22.9961663904	
2017/06/25	00:01:05	7.49970287514	7.48601810182	7.22681598045	7.01736022286	6.79676725983	6.66044501961	6.6296499234	6.77345279175	22.9958991736	22.8365735443	23.1054723755	23.0734230609	22.9844780414	22.9317599847	22.9647708026	22.9957655652	
2017/06/25	00:01:11	7.49975358601	7.48621905013	7.22691835457	7.01732162274	6.7967125968	6.66040602937	6.62957980125	6.77344680753	22.9956295709	22.8364590228	23.105357854	23.0735137238	22.9849265839	22.931879278	22.9648399927	22.995803739	
2017/06/25	00:01:16	7.49960627578	7.48610747676	7.227025378	7.01742961339	6.79692546909	6.660439331	6.62970423354	6.77334940517	22.9960113092	22.8364399359	23.1057586792	23.0734731641	22.9849385132	22.9319436963	22.9649449707	22.9963381726	
2017/06/25	00:01:22	7.49976714645	7.48625206477	7.22685921938	7.01736200441	6.79684993693	6.66037415363	6.62954213004	6.77334415336	22.9957655652	22.8363182568	23.1046850403	23.0735471259	22.9846331226	22.93223	22.964606178	22.9959182605	
2017/06/25	00:01:28	7.49958867928	7.48617501901	7.22697360137	7.01739898179	6.79690036807	6.66039589569	6.62959950987	6.77332862603	22.9958419128	22.8363922186	23.1049952026	23.0735996149	22.9847285571	22.9320701471	22.9644248523	22.9961783197	
2017/06/25	00:01:34	7.49964616252	7.48621567106	7.22701343927	7.0174111709	6.79683070098	6.6604705457	6.62958294235	6.77346439121	22.9959373474	22.8364184631	23.1048782953	23.073737995	22.9845687042	22.9323516791	22.9644630261	22.9961329883	
2017/06/25	00:01:40	7.4997320053	7.48640176814	7.22691031676	7.01741871713	6.79675241337	6.66024495275	6.62952284913	6.77349085931	22.9958729291	22.8363110992	23.1048019476	23.0738883044	22.9852916211	22.9319389246	22.9649998456	22.9960781134	
2017/06/25	00:01:46	7.49973399387	7.48627560276	7.22690288177	7.01759268477	6.79662675397	6.66030933714	6.62959447304	6.77342365813	22.9956033264	22.8361440887	23.1044488397	23.0733610284	22.9847762744	22.9321178644	22.9646181073	22.9961353741	
2017/06/25	00:01:52	7.49977597114	7.4863188749	7.22695775109	7.0174174136	6.79686524354	6.66043480748	6.6295167119	6.77332764465	22.9959635919	22.8362991699	23.1047184424	23.0734874792	22.9850959802	22.9322323859	22.9648972534	22.9963429443	
2017/06/25	00:01:57	7.49975707328	7.48620774336	7.22676777301	7.01737095724	6.79670779588	6.66037829063	6.62959592638	6.77344219676	22.9959039453	22.8363707458	23.1045562036	23.0734182892	22.9847190137	22.9322443152	22.9649903021	22.9963119281	
2017/06/25	00:02:03	7.49979418666	7.48628413247	7.22684001973	7.01750614921	6.79683766025	6.66030861698	6.62953777687	6.77342861696	22.9957130762	22.8366832941	23.1047136707	23.0738525165	22.9847023126	22.9319937994	22.9647803461	22.9964097485	
2017/06/25	00:02:09	7.49972053481	7.48636978895	7.2268769617	7.01747434239	6.79678146551	6.66049635754	6.62956959917	6.77334433995	22.9957631793	22.8365902454	23.1046516382	23.0735948431	22.9849981598	22.9320439026	22.9642578418	22.9963572595	
2017/06/25	00:02:15	7.49960644917	7.48620198853	7.2269495566	7.01736073603	6.79682373296	6.66046900214	6.62973591703	6.77354920442	22.9963166998	22.8372773743	23.1050715503	23.0738596741	22.9849576001	22.9325353906	22.9648805524	22.9960399396	
2017/06/25	00:02:21	7.4996099735	7.48620216717	7.22685219323	7.01744809864	6.7967517037	6.6605826791	6.62954358434	6.77351069431	22.9963763464	22.8371747821	23.1053459247	23.0737069788	22.9848144482	22.9323492932	22.9648710089	22.9961616187	
2017/06/25	00:02:27	7.49959822948	7.48610325757	7.22687438074	7.01742731333	6.79681345082	6.66038014628	6.62965513518	6.77336443438	22.9964813245	22.837298847	23.1053673975	23.0737284515	22.9851317682	22.9322085272	22.9650761932	22.996121059	
2017/06/25	00:02:33	7.49961967779	7.48633552872	7.22683503244	7.01737402935	6.79662600546	6.66031830491	6.6295220302	6.77340390789	22.9965027972	22.836912337	23.1052075446	23.0738644458	22.984940899	22.932282489	22.9648018188	22.9962164935	
2017/06/25	00:02:39	7.49945866871	7.48615914009	7.22700552111	7.01748055454	6.79692224492	6.66047434262	6.62959736653	6.77352213632	22.9966674219	22.8374634717	23.1056083698	23.0738334296	22.9850434912	22.9324447278	22.9650690356	22.9964932538	
2017/06/25	00:02:44	7.49951673835	7.48600932529	7.22700171163	7.01740971008	6.79672558996	6.66043547004	6.62960284143	6.7734351495	22.9967151392	22.8372344287	23.1053268378	23.0738405872	22.9851198389	22.932318277	22.9648710089	22.9965194983	
2017/06/25	00:02:50	7.49965914344	7.48627963655	7.22697020399	7.01749933539	6.79667875343	6.6603694405	6.62957220299	6.77349482779	22.9968749921	22.8375684497	23.1060998578	23.0743368469	22.9855373651	22.9325401624	22.9652241168	22.9963930475	
2017/06/25	00:02:56	7.49975846489	7.48627633786	7.22687959492	7.01740146894	6.7968330459	6.66048576537	6.62962966035	6.77339349115	22.99684159	22.837475401	23.1058946735	23.0736306311	22.985258219	22.9323135052	22.965221731	22.9968320465	
2017/06/25	00:03:02	7.49961258773	7.48625234485	7.2269673584	7.01748136629	6.79662763397	6.6603913442	6.62966489977	6.77350810512	22.9964407648	22.8373990533	23.1056346143	23.0738620599	22.9853679688	22.9325854938	22.9653100079	22.9969012366	
2017/06/25	00:03:08	7.49964589042	7.48639794578	7.22690201975	7.01749807242	6.79681057081	6.66047928063	6.62967686624	6.77353104534	22.9969680408	22.8375708356	23.1059781787	23.0745730475	22.9851890289	22.9326857001	22.9654293011	22.9970801764	
2017/06/25	00:03:14	7.49952594449	7.48633220272	7.22683248862	7.01744085407	6.79668256574	6.66033420078	6.62967962925	6.77342611801	22.9967127533	22.8373847382	23.105990108	23.0739503369	22.985169942	22.9326236676	22.9657251483	22.9968845355	
2017/06/25	00:03:20	7.49965639692	7.48612901349	7.22686717135	7.01731553666	6.79673263434	6.66038049756	6.62978053254	6.77341787134	22.9970754047	22.8377688623	23.1058803583	23.0741698364	22.9854801044	22.9323922388	22.9652599048	22.9970133722	
2017/06/25	00:03:26	7.49973444895	7.48625508091	7.22700902636	7.01727623478	6.79674880479	6.66035630371	6.62971808723	6.77345498459	22.9972638879	22.8377330743	23.1065316992	23.0742461841	22.9858857013	22.9324184833	22.9656153986	22.9972328717	
2017/06/25	00:03:31	7.49973724213	7.4862292889	7.22691912955	7.01736553553	6.79662192091	6.66052680327	6.62976169647	6.77363123764	22.9975716644	22.8377640906	23.1065436285	23.0742533417	22.9851651703	22.9321679675	22.9654961053	22.9971994696	
2017/06/25	00:03:37	7.4997050589	7.48633246108	7.22700139318	7.01737354296	6.79667000519	6.66059688892	6.62971405819	6.77352656848	22.9973497791	22.8381148126	23.1064625092	23.0741555212	22.9850482629	22.932564021	22.9652479755	22.997421355	
2017/06/25	00:03:43	7.49970187805	7.48632794832	7.22703700541	7.01740302908	6.79673657841	6.66050590943	6.62973001111	6.7735543203	22.9975239471	22.8378595251	23.106412406	23.0740648584	22.9855302075	22.9325759503	22.9651763995	22.9972257141	
2017/06/25	00:03:49	7.49956695062	7.48612702717	7.2268868324	7.01749778521	6.79655569161	6.66047197566	6.62979139712	6.77349835656	22.9975716644	22.8376614984	23.1065627155	23.0742891296	22.9849743011	22.9325831079	22.9655438226	22.9969274811	
