data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/09/26	00:00:00	4.80885197632	6.41206909671	6.41037848151	6.47560229255	7.00157269043	6.68768223304	6.92910515176	7.35898148384	1.03464944328	22.8580797247	22.9010873138	23.027810108	22.9815076404	22.9631484149	22.9057636078	23.0290483716	
2017/09/26	00:00:06	4.80839874076	6.41203646911	6.4103650434	6.47555418385	7.00149596604	6.68764652185	6.92908812272	7.358961554	1.03270824448	22.857583465	22.9007055756	23.0271372943	22.9813358582	22.9628263232	22.9055965973	23.0285091663	
2017/09/26	00:00:12	4.80878359244	6.41215026853	6.4103734529	6.47558547595	7.00162303866	6.68754335626	6.92908931715	7.35877569359	1.03467419662	22.8575643781	22.9011755908	23.0273329352	22.9814503796	22.963849859	22.9059234607	23.028723894	
2017/09/26	00:00:18	4.80881895947	6.41205746112	6.41028679388	6.47567958216	7.00149477771	6.6874990214	6.92910133409	7.35870758737	1.03455549988	22.8581131268	22.9010682269	23.0272160278	22.9815983032	22.9634251752	22.9057135046	23.0286284595	
2017/09/26	00:00:24	4.80839166261	6.41195911022	6.41038057655	6.47569880746	7.0016156601	6.68771749387	6.92913893565	7.3589454961	1.03267633354	22.8579461163	22.9010658411	23.0273758807	22.9818321179	22.9632891809	22.9057826947	23.0284805359	
2017/09/26	00:00:30	4.80874694017	6.41190807559	6.41026027766	6.47564075742	7.00162488622	6.68772525202	6.92900852025	7.35899004733	1.0346451189	22.8579604315	22.90097995	23.0273830383	22.9819084656	22.9634180176	22.9059520911	23.0286499323	
2017/09/26	00:00:36	4.80894229179	6.41171220762	6.41024741388	6.47560150797	7.00160373937	6.68767355146	6.92914071094	7.35911000642	1.03587547928	22.8582562787	22.9013163568	23.0276788855	22.9818058734	22.9638069135	22.9052554187	23.0286928778	
2017/09/26	00:00:42	4.80837837578	6.4120478002	6.41013278625	6.47558040598	7.0015046549	6.6875733669	6.92896918685	7.35894110272	1.03306373825	22.8581250562	22.9011636615	23.0278435101	22.9819299384	22.9636947778	22.9056252277	23.028742981	
2017/09/26	00:00:47	4.80893908963	6.4121138587	6.41010192408	6.47561932216	7.00149639795	6.68764706147	6.92898984131	7.3587737056	1.03582582348	22.8583612567	22.9015430139	23.0280701672	22.9820730902	22.9637878265	22.9054916193	23.0288670459	
2017/09/26	00:00:53	4.80867159194	6.41199383026	6.41019954782	6.47563909847	7.00148012249	6.68757340116	6.92903071253	7.35892341522	1.03396619141	22.8582825232	22.9014833673	23.0281632159	22.9819418677	22.9633917731	22.905074093	23.028530639	
2017/09/26	00:01:00	4.80837372293	6.41219894187	6.41016534177	6.47560604308	7.00155062792	6.6876133616	6.92907785448	7.35882672136	1.03308834248	22.8581513007	22.9014165631	23.0278482819	22.9821518237	22.9636494464	22.9055703528	23.0288431873	
2017/09/26	00:01:06	4.80865258191	6.41209737623	6.41025846862	6.47562448234	7.00139572084	6.6875189648	6.92892504411	7.35893805802	1.03468866093	22.8580606378	22.901559715	23.0282586505	22.9817414551	22.9635492401	22.9057850806	23.0289338501	
2017/09/26	00:01:12	4.80877732421	6.41206713285	6.41018471579	6.47555548395	7.00139570477	6.68750574712	6.92928434932	7.35883020502	1.03406401184	22.8586093866	22.9015048401	23.0286332312	22.9823737091	22.9639429077	22.906181134	23.0290531433	
2017/09/26	00:01:17	4.80862997544	6.41190156661	6.41024792202	6.47553865941	7.00138331879	6.68766900604	6.92914299064	7.35884433652	1.03413514042	22.8586404028	22.9016885516	23.0282467212	22.9823021332	22.964078902	22.905987879	23.0290459857	
2017/09/26	00:01:23	4.80838287768	6.4120223874	6.4102454355	6.47555190105	7.00140567279	6.68765872572	6.92911131187	7.35888550662	1.03309102657	22.8587907123	22.9017362689	23.0285401825	22.9826862573	22.9641767224	22.9061358026	23.0291748224	
2017/09/26	00:01:29	4.80851179164	6.4117571353	6.41020913183	6.47554406856	7.00133399061	6.68765317945	6.92914219833	7.35887612788	1.03491710743	22.8589123914	22.9017672852	23.0285282532	22.9823689374	22.9642268256	22.9061167157	23.0290292847	
2017/09/26	00:01:35	4.80851789902	6.41190566297	6.41027154433	6.47563314355	7.00155325949	6.68771445568	6.92905637052	7.35892389142	1.03412828106	22.8589696521	22.9017720569	23.0285449542	22.9826504694	22.9643866785	22.90554888	23.0293728491	
2017/09/26	00:01:41	4.80885318804	6.41198259722	6.41024077488	6.47557695363	7.00152679151	6.68766361106	6.92926545232	7.3588790096	1.03507800415	22.8590436139	22.9021633386	23.0286380029	22.9828890558	22.9640717444	22.9059401617	23.0292845721	
2017/09/26	00:01:47	4.80837926103	6.4119994892	6.41026550591	6.47566084477	7.00131729858	6.68754597758	6.92901236584	7.35880646786	1.03347544895	22.8588288861	22.9025737073	23.0288145569	22.9823689374	22.9641433203	22.9062073785	23.0296018921	
2017/09/26	00:01:53	4.80873718718	6.41210070515	6.4102002257	6.47561400224	7.00151973332	6.68765676218	6.92903435062	7.35892458861	1.03497884167	22.8590125977	22.9023375067	23.0287930841	22.9828484961	22.964429624	22.9061238733	23.0296830115	
2017/09/26	00:01:59	4.8088767029	6.41210048367	6.41020357439	6.47563512525	7.00131670555	6.6875871884	6.92903003187	7.35885316882	1.03588278599	22.8592297113	22.9020941486	23.0289672522	22.9823069049	22.9645322162	22.9060856995	23.0292129962	
2017/09/26	00:02:05	4.80845088071	6.41238213413	6.41032070968	6.47556427566	7.00138364579	6.68754618554	6.92906060881	7.35868315648	1.03326981728	22.8592750427	22.9022325287	23.0288598883	22.982762605	22.9647851178	22.9061501178	23.029709256	
2017/09/26	00:02:11	4.80837665561	6.41197998207	6.41019776296	6.47553195901	7.00150729257	6.6876563473	6.92910661031	7.35874862942	1.03364067005	22.859427738	22.9023422784	23.0289911108	22.9827697626	22.9646371942	22.9060475256	23.0297068701	
2017/09/26	00:02:17	4.80843538728	6.41209912281	6.41033969747	6.47570062753	7.00121628069	6.68767437134	6.92925767183	7.35884045342	1.03359832096	22.859745058	22.9023017188	23.0291676648	22.9828437244	22.9645894769	22.9060689984	23.0297498157	
2017/09/26	00:02:23	4.80846350672	6.41180263732	6.41008999721	6.47576692768	7.00158718122	6.68781524977	6.9291109032	7.358889287	1.03380917171	22.8597808459	22.9023375067	23.0289052197	22.982674328	22.9644701837	22.9065938885	23.0297044843	
2017/09/26	00:02:29	4.80846668241	6.41186529009	6.41033431951	6.47561233673	7.00154932295	6.68763140834	6.92923322731	7.35887828096	1.03339835571	22.8596233789	22.9021609528	23.0294348816	22.9825073175	22.9647421722	22.906233623	23.0297808319	
2017/09/26	00:02:35	4.80861837047	6.4119750691	6.41032619373	6.47549858104	7.00159816542	6.68763644372	6.92916872222	7.35893279127	1.03488638943	22.8599144543	22.9026476691	23.0293680774	22.982779306	22.9649640576	22.9066583069	23.029673468	
2017/09/26	00:02:41	4.80861359354	6.41206317588	6.41028611238	6.47569112987	7.00151204671	6.68765020655	6.92908814356	7.35894296257	1.03489235409	22.8600027313	22.9024066968	23.0297211853	22.9828031647	22.9650714215	22.9065294702	23.0300170325	
2017/09/26	00:02:47	4.80867855974	6.41214638139	6.4102778436	6.47561095594	7.00140705308	6.68774428447	6.92928689222	7.35903373465	1.03477977112	22.8598882098	22.9027216309	23.029532702	22.9829749469	22.9653147797	22.906498454	23.0299836304	
2017/09/26	00:02:53	4.80870931784	6.41186793472	6.41033021198	6.47572712417	7.00152477844	6.68779142888	6.92928906048	7.35891307231	1.03474547432	22.8597498297	22.902735946	23.0291605072	22.9828580396	22.9650427911	22.9064411932	23.0297856036	
