data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2018/08/27	14:15:34	4.992308082698749	4.992584540157208	4.992048643446864	4.992033599444258	4.992561121173507	4.992192388230405	8.73892129557762	6.605313688037253	-0.7106343995428086	-0.7110946103906632	-0.7110639296674728	-0.7111968856811524	-0.7103275923109055	-0.7112889278507233	22.971644477539062	22.603288508911135	
2018/08/27	14:15:35	4.992379694762132	4.992652560020707	4.992104921963102	4.992068776990139	4.992599766618446	4.992249240267425	8.738877770236858	6.6056448155025596	-0.7115441594076157	-0.7118407335186006	-0.7120146033763886	-0.7123827720546723	-0.7113293943452835	-0.7121270931482315	22.9717327545166	22.603951779174807	
2018/08/27	14:15:36	4.992232134728948	4.992558196747568	4.991996086531316	4.991984277978448	4.992484736817963	4.992159810702468	8.738827571950893	6.605942183455038	-0.7113079961252213	-0.7119932051563262	-0.7119318437099458	-0.7124227352809906	-0.7111955063533784	-0.712187503976822	22.97270380126953	22.604371691284182	
2018/08/27	14:15:37	4.992191592709453	4.992509545561903	4.991963115591148	4.991961754248293	4.992472380287684	4.992110882919427	8.738543610423319	6.6061033514054985	-0.7110111610603334	-0.7114611387872696	-0.7117474984169007	-0.7119315827560425	-0.7109293520116806	-0.7118804544305801	22.97283740966797	22.604741500244142	
2018/08/27	14:15:38	4.992191926110583	4.992511122231343	4.991935732904843	4.9919383912743065	4.992452067963312	4.992100804697964	8.738128918389187	6.6060465398779105	-0.7111233153200149	-0.7116346731328964	-0.7119926086902619	-0.7121357791852951	-0.7110926345968247	-0.7119926086902619	22.973476821289065	22.60499201599121	
2018/08/27	14:15:38	4.992229025784895	4.992516983682164	4.991966667754373	4.991962310657309	4.992484346902401	4.992143498566547	8.738183915825067	6.606314050032647	-0.7107537673139572	-0.7109378516530991	-0.7113060203313828	-0.7115309998750687	-0.7105185546493531	-0.7114185101032258	22.97425222717285	22.606461708374024	
2018/08/27	14:15:39	4.992398706705913	4.992693301122738	4.992149131016401	4.9921543143486735	4.9926502481439945	4.992302053339682	8.738248088872181	6.606520291266022	-0.7095466877555847	-0.7097921335411073	-0.7100477938079834	-0.7102830064725876	-0.709403498620987	-0.7102727919912338	22.974359591064456	22.606254138183594	
2018/08/27	14:15:40	4.992318700714291	4.992621244534066	4.992055004921412	4.9920546753925725	4.992562458514518	4.992233746122521	8.739781076437156	6.607166203263324	-0.7088637527513504	-0.7093341967201233	-0.7095694093847276	-0.7097330461215974	-0.7088944334745407	-0.709681917796135	22.975189871826174	22.606867305297854	
2018/08/27	14:15:41	4.992308206400161	4.9926035090425875	4.992055328810578	4.9920387422166925	4.99255510860123	4.992189423026793	8.737633362022086	6.606654564687956	-0.7106752015495301	-0.711166093120575	-0.7111967738437652	-0.71149334795475	-0.7107160967540741	-0.7113399443387985	22.97557399597168	22.60733016296387	
2018/08/27	14:15:42	4.992182937550187	4.99247965823734	4.99193449386844	4.9919142616711705	4.992437803578366	4.992061487685367	8.73688951836218	6.606614962235381	-0.7106118643093109	-0.7112561594963074	-0.7113072878217697	-0.7114709245586395	-0.710560717344284	-0.7114402438354492	22.975678973999024	22.6084085736084	
