Sampling period	9.6 s	H  LOCAL	
Saving period	60.0 s
			RESEAUX 1	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	R_1	R_2	R_3	R_4	
NUMBER	Date 	time 		D_H7DC-032	E_D_H7DC-032	T_H7DC-032	E_T_H7DC-032	D_H7DC-033	E_D_H7DC-033	T_H7DC-033	E_T_H7DC-033	D_H7DC-034	E_D_H7DC-034	T_H7DC-034	E_T_H7DC-034	D_H7DC-035	E_D_H7DC-035	T_H7DC-035	E_T_H7DC-035	D_H7DC-036	E_D_H7DC-036	T_H7DC-036	E_T_H7DC-036	D_H7DC-037	E_D_H7DC-037	T_H7DC-037	E_T_H7DC-037	D_H7DC-038	E_D_H7DC-038	T_H7DC-038	E_T_H7DC-038	D_H7DC-039	E_D_H7DC-039	T_H7DC-039	E_T_H7DC-039	D_H7DC-040	E_D_H7DC-040	T_H7DC-040	E_T_H7DC-040	D_H7DC-041	E_D_H7DC-041	T_H7DC-041	E_T_H7DC-041	D_H7DC-042	E_D_H7DC-042	T_H7DC-042	E_T_H7DC-042	D_H7DC-043	E_D_H7DC-043	T_H7DC-043	E_T_H7DC-043	D_H7DC-044	E_D_H7DC-044	T_H7DC-044	E_T_H7DC-044	D_H7DC-045	E_D_H7DC-045	T_H7DC-045	E_T_H7DC-045	D_H7DC-046	E_D_H7DC-046	T_H7DC-046	E_T_H7DC-046	D_H7DC-047	E_D_H7DC-047	T_H7DC-047	E_T_H7DC-047	D_H7DC-048	E_D_H7DC-048	T_H7DC-048	E_T_H7DC-048	D_H7DC-049	E_D_H7DC-049	T_H7DC-049	E_T_H7DC-049	D_H7DC-050	E_D_H7DC-050	T_H7DC-050	E_T_H7DC-050	D_H7DC-051	E_D_H7DC-051	T_H7DC-051	E_T_H7DC-051	D_H7DC-052	E_D_H7DC-052	T_H7DC-052	E_T_H7DC-052	D_H7DC-053	E_D_H7DC-053	T_H7DC-053	E_T_H7DC-053	D_H7DC-054	E_D_H7DC-054	T_H7DC-054	E_T_H7DC-054	D_H7DC-055	E_D_H7DC-055	T_H7DC-055	E_T_H7DC-055	D_H7DC-056	E_D_H7DC-056	T_H7DC-056	E_T_H7DC-056	D_H7DC-057	E_D_H7DC-057	T_H7DC-057	E_T_H7DC-057	D_H7DC-058	E_D_H7DC-058	T_H7DC-058	E_T_H7DC-058	D_H7DC-059	E_D_H7DC-059	T_H7DC-059	E_T_H7DC-059	D_H7DC-060	E_D_H7DC-060	T_H7DC-060	E_T_H7DC-060	D_H7DC-061	E_D_H7DC-061	T_H7DC-061	E_T_H7DC-061	R_1_NbPt	R_2_NbPt	R_3_NbPt	R_4_NbPt	
1	20/12/2012	11:25:27		-5.313e-002	3.147e-005	6.92e-003	8.17e-005	-5.382e-002	2.674e-005	2.5e-003	4.09e-005	-5.394e-002	1.541e-006	8.99e-004	1.63e-004	-5.418e-002	1.092e-005	6.56e-003	1.07e-004	-5.371e-002	3.32e-005	3.97e-003	1.84e-004	-5.402e-002	7.278e-006	3.53e-004	3.58e-005	-5.401e-002	1.136e-005	2.76e-004	3.07e-005	-5.417e-002	9.276e-006	-5.21e-004	2.04e-005	-5.401e-002	6.826e-006	1.27e-002	1.07e-004	-5.191e-002	3.056e-005	1.95e-002	4.59e-005	-5.431e-002	1.212e-005	1.16e-003	5.11e-005	-5.446e-002	1.948e-005	4.91e-004	1.02e-005	-5.41e-002	2.358e-005	9.14e-003	1.02e-005	-5.432e-002	1.059e-005	1.38e-003	1.12e-004	-5.436e-002	1.073e-006	2.59e-003	1.53e-005	-5.446e-002	1.875e-005	1.04e-003	1.02e-004	-5.34e-002	1.43e-005	3.21e-003	1.02e-005	-3.937e-002	1.269e-005	-0.4	7e-005	-5.399e-002	1.812e-005	3.63e-004	9.71e-005	-5.427e-002	1.521e-005	3.29e-003	4.6e-005	-5.377e-002	1.588e-005	1.43e-003	1.58e-004	-5.401e-002	3.745e-005	2.76e-004	1.33e-004	-5.399e-002	1.058e-005	1.28e-004	1.07e-004	-5.426e-002	2.757e-005	-7.46e-004	2.04e-005	-5.394e-002	1.434e-005	-2.66e-004	1.64e-010	-5.398e-002	4.534e-006	5.11e-006	1.38e-004	-5.398e-002	1.791e-005	1.99e-004	1.58e-004	-5.39e-002	2.666e-005	1.67e-003	1.02e-005	-5.339e-002	6.161e-006	4.78e-003	5.12e-006	-3.889e-002	4.744e-006	-0.4	2e-004	2	2	2	2	
2	20/12/2012	11:26:27		-5.317e-002	1.652e-005	6.63e-003	1.43e-004	-5.387e-002	5.243e-005	1.95e-003	6.3e-005	-5.399e-002	3.645e-006	5.62e-004	6.02e-005	-5.421e-002	1.196e-005	6.11e-003	1.21e-004	-5.38e-002	1.748e-005	3.48e-003	1.4e-004	-5.403e-002	7.958e-006	2.96e-004	1.77e-004	-5.407e-002	9.348e-006	2.15e-004	9.48e-005	-5.42e-002	2.334e-005	-5.42e-004	1.53e-004	-5.403e-002	1.424e-005	1.26e-002	1.26e-004	-5.193e-002	2.324e-005	1.96e-002	5.07e-005	-5.431e-002	1.573e-005	1.1e-003	1.91e-004	-5.447e-002	2.265e-005	1.74e-004	1.09e-004	-5.412e-002	2.013e-005	8.9e-003	4.74e-005	-5.434e-002	1.506e-005	1.2e-003	1.51e-004	-5.437e-002	8.633e-006	2.56e-003	1.43e-004	-5.449e-002	3.6e-005	8.04e-004	8.92e-005	-5.334e-002	1.588e-005	3.94e-003	1.42e-004	-3.93e-002	1.601e-005	-0.4	3e-004	-5.384e-002	6.822e-005	9.16e-004	3.99e-004	-5.412e-002	6.698e-005	3.73e-003	2.31e-004	-5.368e-002	7.732e-005	1.68e-003	3.11e-004	-5.398e-002	4.834e-005	4.87e-004	2.87e-004	-5.399e-002	7.297e-005	3.1e-004	3.26e-004	-5.429e-002	5.033e-005	-9.98e-004	2.76e-004	-5.401e-002	2.548e-005	-2.76e-004	1.4e-004	-5.408e-002	3.374e-005	-3.24e-004	9.96e-005	-5.407e-002	1.44e-005	-2.32e-004	1.19e-004	-5.4e-002	1.796e-005	1.45e-003	4.2e-005	-5.346e-002	1.253e-005	4.e-003	4.65e-005	-3.892e-002	8.151e-006	-0.4	9e-005	3	3	3	3	
3	20/12/2012	11:27:27		-5.318e-002	3.547e-005	6.55e-003	2.11e-004	-5.384e-002	7.386e-005	1.98e-003	2.95e-004	-5.397e-002	2.609e-005	6.78e-004	3.52e-004	-5.421e-002	2.389e-005	5.85e-003	2.94e-004	-5.385e-002	3.132e-005	3.32e-003	1.52e-004	-5.409e-002	2.796e-005	2.38e-004	1.7e-004	-5.408e-002	9.804e-006	1.57e-004	9.63e-006	-5.421e-002	1.878e-005	-6.3e-004	7.29e-005	-5.399e-002	1.364e-005	1.27e-002	1.45e-005	-5.188e-002	7.137e-006	1.97e-002	6.47e-005	-5.426e-002	1.222e-005	1.42e-003	1.17e-004	-5.443e-002	1.474e-005	5.62e-004	8.47e-005	-5.406e-002	2.505e-005	9.02e-003	6.15e-005	-5.427e-002	9.76e-006	1.43e-003	6.04e-005	-5.437e-002	1.111e-005	2.68e-003	7.57e-005	-5.446e-002	2.391e-005	1.11e-003	1.42e-004	-5.342e-002	3.474e-005	3.68e-003	1.8e-004	-3.934e-002	3.058e-005	-0.4	4e-004	-5.39e-002	3.101e-005	8.21e-004	3.04e-004	-5.418e-002	6.81e-005	3.86e-003	1.76e-004	-5.366e-002	4.345e-005	1.8e-003	2.68e-004	-5.394e-002	3.095e-005	6.64e-004	1.39e-004	-5.393e-002	1.612e-005	3.34e-004	1.32e-004	-5.424e-002	1.883e-005	-7.26e-004	8.05e-005	-5.396e-002	3.182e-005	-3.65e-004	6.27e-005	-5.403e-002	1.677e-005	-1.3e-004	6.15e-005	-5.404e-002	1.518e-005	-6.82e-005	1.93e-005	-5.397e-002	1.24e-005	1.47e-003	4.89e-005	-5.344e-002	1.184e-005	4.08e-003	2.37e-004	-3.892e-002	1.291e-005	-0.4	5e-005	3	3	3	3	
4	20/12/2012	11:28:27		-5.319e-002	4.178e-005	6.56e-003	2.8e-004	-5.386e-002	6.813e-005	2.2e-003	4.33e-004	-5.397e-002	6.484e-005	9.12e-004	2.87e-004	-5.418e-002	5.554e-005	5.89e-003	4.02e-004	-5.378e-002	5.349e-005	3.69e-003	3.51e-004	-5.402e-002	6.841e-005	3.45e-004	2.57e-004	-5.402e-002	3.789e-005	3.7e-004	1.25e-004	-5.419e-002	4.919e-005	-5.08e-004	1.61e-004	-5.402e-002	2.386e-005	1.26e-002	9.35e-005	-5.191e-002	3.028e-005	1.94e-002	6.86e-005	-5.43e-002	2.354e-005	1.27e-003	1.51e-004	-5.445e-002	2.28e-005	4.47e-004	1.19e-004	-5.41e-002	3.039e-005	8.77e-003	1.93e-004	-5.429e-002	2.761e-005	1.19e-003	1.27e-004	-5.436e-002	1.621e-005	2.61e-003	1.91e-004	-5.447e-002	1.879e-005	1.e-003	1.07e-004	-5.338e-002	5.142e-005	3.66e-003	2.53e-004	-3.935e-002	2.198e-005	-0.4	5e-004	-5.393e-002	6.926e-005	5.31e-004	3.36e-004	-5.425e-002	9.21e-005	3.33e-003	5.37e-004	-5.378e-002	7.961e-005	1.28e-003	3.71e-004	-5.402e-002	9.378e-005	1.38e-004	3.22e-004	-5.403e-002	7.146e-005	-1.81e-004	3.05e-004	-5.432e-002	4.526e-005	-1.14e-003	2.72e-004	-5.4e-002	4.008e-005	-3.78e-004	2.43e-004	-5.407e-002	2.601e-005	-3.3e-004	1.5e-004	-5.405e-002	4.732e-005	-1.81e-004	1.79e-004	-5.395e-002	3.224e-005	1.53e-003	1.88e-004	-5.343e-002	3.922e-005	4.23e-003	2.31e-004	-3.892e-002	1.656e-005	-0.4	3e-004	4	4	4	4	
5	20/12/2012	11:29:29		-5.313e-002	5.756e-005	6.9e-003	2.e-004	-5.382e-002	3.662e-005	2.51e-003	2.85e-004	-5.391e-002	3.47e-005	1.04e-003	1.07e-004	-5.413e-002	2.05e-005	6.23e-003	2.3e-004	-5.373e-002	3.117e-005	3.59e-003	3.e-004	-5.399e-002	3.242e-005	3.24e-004	1.41e-004	-5.402e-002	2.11e-005	2.61e-004	2.65e-004	-5.415e-002	2.692e-005	-5.01e-004	8.21e-005	-5.403e-002	1.213e-005	1.27e-002	1.26e-004	-5.189e-002	1.304e-005	1.96e-002	7.93e-005	-5.428e-002	2.125e-005	1.26e-003	1.59e-004	-5.442e-002	1.22e-005	4.04e-004	6.24e-005	-5.408e-002	1.207e-005	8.98e-003	1.01e-004	-5.428e-002	1.508e-005	1.36e-003	1.43e-004	-5.433e-002	2.427e-005	2.7e-003	1.61e-004	-5.446e-002	2.531e-005	1.2e-003	5.84e-005	-5.344e-002	5.219e-005	3.45e-003	3.02e-004	-3.936e-002	2.322e-005	-0.4	3e-004	-5.397e-002	2.962e-005	3.12e-004	3.45e-004	-5.426e-002	2.834e-005	3.18e-003	1.96e-004	-5.379e-002	2.425e-005	1.4e-003	2.76e-004	-5.404e-002	5.669e-006	2.4e-004	2.55e-005	-5.401e-002	1.155e-005	2.2e-004	8.25e-005	-5.428e-002	2.525e-005	-9.86e-004	2.18e-004	-5.396e-002	1.619e-005	-1.76e-004	1.05e-004	-5.404e-002	2.229e-005	-1.81e-004	1.11e-004	-5.4e-002	2.845e-005	7.67e-006	1.21e-004	-5.393e-002	1.446e-005	1.67e-003	1.96e-005	-5.342e-002	8.928e-006	4.33e-003	9.9e-005	-3.89e-002	1.482e-005	-0.4	2e-004	4	4	4	4	
6	20/12/2012	11:30:29		-5.313e-002	1.053e-004	6.75e-003	2.71e-004	-5.381e-002	3.961e-005	2.21e-003	2.41e-004	-5.395e-002	2.711e-005	6.88e-004	9.63e-005	-5.415e-002	1.908e-005	5.83e-003	2.05e-004	-5.377e-002	3.242e-005	3.53e-003	8.47e-005	-5.404e-002	3.848e-006	3.71e-004	1.93e-004	-5.402e-002	1.686e-005	1.84e-004	5.84e-005	-5.416e-002	2.016e-005	-5.11e-004	3.34e-005	-5.403e-002	1.862e-006	1.27e-002	2.21e-005	-5.195e-002	3.399e-005	1.94e-002	1.47e-004	-5.432e-002	1.267e-005	1.11e-003	1.38e-004	-5.445e-002	1.338e-005	3.27e-004	1.74e-004	-5.411e-002	1.771e-006	8.84e-003	5.47e-005	-5.432e-002	7.34e-006	1.25e-003	1.21e-004	-5.439e-002	7.563e-006	2.61e-003	9.63e-006	-5.451e-002	4.502e-006	1.04e-003	9.38e-005	-5.344e-002	6.172e-005	3.39e-003	3.86e-004	-3.936e-002	4.042e-005	-0.4	4e-004	-5.394e-002	7.798e-005	5.96e-004	6.39e-004	-5.421e-002	1.28e-004	3.55e-003	5.9e-004	-5.374e-002	1.046e-004	1.59e-003	5.89e-004	-5.401e-002	1.035e-004	3.3e-004	5.74e-004	-5.397e-002	1.015e-004	2.66e-004	4.08e-004	-5.426e-002	8.741e-005	-7.87e-004	3.76e-004	-5.397e-002	4.63e-005	-2.49e-004	2.03e-004	-5.404e-002	4.135e-005	-2.32e-004	1.81e-004	-5.403e-002	9.169e-005	1.7e-005	3.59e-004	-5.393e-002	6.507e-005	1.51e-003	3.43e-004	-5.343e-002	5.439e-005	4.05e-003	3.54e-004	-3.892e-002	3.681e-005	-0.4	4e-004	3	3	3	3	
7	20/12/2012	11:31:35		-5.314e-002	6.939e-006	6.65e-003	7.15e-005	-5.386e-002	1.987e-005	1.86e-003	1.33e-004	-5.398e-002	2.53e-005	6.95e-004	9.2e-005	-5.416e-002	1.202e-005	5.61e-003	8.17e-005	-5.38e-002	1.77e-005	3.06e-003	2.3e-004	-5.404e-002	1.781e-005	3.07e-004	1.94e-004	-5.406e-002	2.037e-005	8.17e-005	3.07e-005	-5.418e-002	1.901e-005	-5.16e-004	1.38e-004	-5.403e-002	1.36e-005	1.27e-002	9.19e-005	-5.194e-002	1.925e-005	1.94e-002	6.12e-005	-5.428e-002	2.73e-005	1.26e-003	1.07e-004	-5.444e-002	3.935e-006	3.68e-004	5.11e-005	-5.414e-002	5.876e-006	8.87e-003	2.4e-004	-5.432e-002	3.722e-005	1.11e-003	1.18e-004	-5.44e-002	3.179e-005	2.54e-003	3.07e-004	-5.45e-002	4.88e-005	1.04e-003	1.07e-004	-5.341e-002	2.324e-005	3.47e-003	9.71e-005	-3.935e-002	8.034e-006	-0.4	1e-004	-5.391e-002	2.949e-005	8.07e-004	6.13e-005	-5.418e-002	1.74e-005	3.44e-003	1.54e-008	-5.373e-002	4.907e-006	1.59e-003	6.64e-005	-5.394e-002	2.335e-005	5.62e-004	6.13e-005	-5.395e-002	3.758e-005	3.88e-004	9.2e-005	-5.425e-002	7.035e-005	-5.98e-004	8.69e-005	-5.401e-002	0.	-3.27e-004	0.	-5.408e-002	0.	-2.35e-004	0.	-5.406e-002	0.	-3.07e-005	0.	-5.389e-002	0.	1.56e-003	0.	-5.344e-002	0.	4.31e-003	0.	-3.893e-002	0.	-0.4	0.	2	2	2	1	
8	20/12/2012	11:32:47		-5.318e-002	5.746e-005	6.66e-003	3.14e-004	-5.386e-002	4.281e-005	1.78e-003	2.59e-004	-5.397e-002	1.301e-005	6.27e-004	2.23e-004	-5.416e-002	3.314e-005	5.55e-003	1.47e-004	-5.377e-002	4.943e-005	3.35e-003	2.15e-004	-5.404e-002	8.529e-006	2.42e-004	1.88e-004	-5.404e-002	1.517e-005	1.81e-004	1.06e-004	-5.417e-002	8.254e-006	-5.08e-004	6.48e-005	-5.398e-002	4.363e-005	1.29e-002	2.21e-004	-5.196e-002	4.081e-005	1.92e-002	2.37e-004	-5.427e-002	2.37e-005	1.33e-003	2.55e-004	-5.442e-002	3.975e-005	4.33e-004	2.18e-004	-5.41e-002	2.666e-005	8.83e-003	1.64e-004	-5.429e-002	2.296e-005	1.33e-003	1.44e-004	-5.435e-002	3.549e-005	2.7e-003	2.48e-004	-5.446e-002	4.525e-005	1.18e-003	6.26e-005	-5.343e-002	2.189e-005	3.53e-003	2.55e-004	-3.933e-002	1.613e-005	-0.4	2e-004	-5.389e-002	5.534e-005	6.23e-004	3.43e-004	-5.417e-002	9.421e-005	3.34e-003	4.71e-004	-5.372e-002	7.624e-005	1.49e-003	5.58e-004	-5.402e-002	7.994e-005	3.27e-004	4.05e-004	-5.399e-002	7.495e-005	2.01e-004	2.75e-004	-5.425e-002	7.122e-005	-9.23e-004	2.79e-004	-5.396e-002	2.897e-005	-2.1e-004	2.3e-004	-5.402e-002	2.906e-006	-1.89e-004	2.71e-004	-5.403e-002	5.396e-006	-8.69e-005	8.69e-005	-5.395e-002	2.466e-005	1.72e-003	2.56e-005	-5.343e-002	2.859e-005	4.41e-003	2.55e-005	-3.893e-002	9.865e-006	-0.4	1e-005	3	3	3	2	
9	20/12/2012	11:33:47		-5.32e-002	6.33e-005	6.58e-003	2.57e-004	-5.383e-002	3.782e-005	2.09e-003	2.6e-004	-5.394e-002	2.674e-005	8.62e-004	1.33e-004	-5.415e-002	2.661e-005	5.4e-003	2.6e-004	-5.376e-002	5.709e-005	3.37e-003	1.9e-004	-5.4e-002	1.61e-005	2.42e-004	1.13e-004	-5.403e-002	2.31e-005	1.63e-004	1.91e-004	-5.417e-002	1.871e-005	-5.59e-004	3.76e-005	-5.399e-002	5.187e-005	1.28e-002	1.09e-004	-5.197e-002	4.11e-005	1.92e-002	1.28e-005	-5.43e-002	2.95e-005	1.29e-003	1.22e-004	-5.444e-002	3.067e-005	3.99e-004	1.34e-004	-5.409e-002	2.122e-005	8.81e-003	1.43e-004	-5.43e-002	3.739e-005	1.39e-003	8.19e-005	-5.435e-002	1.305e-005	2.73e-003	1.51e-004	-5.447e-002	3.907e-005	9.27e-004	2.23e-004	-5.34e-002	3.589e-005	3.77e-003	2.03e-004	-3.932e-002	9.192e-006	-0.4	7e-005	-5.386e-002	1.302e-005	8.38e-004	1.59e-004	-5.417e-002	2.546e-005	3.42e-003	4.74e-005	-5.372e-002	5.15e-005	1.55e-003	3.36e-004	-5.399e-002	3.475e-005	5.72e-004	3.3e-004	-5.401e-002	6.938e-005	2.93e-004	3.42e-004	-5.428e-002	6.471e-005	-7.53e-004	3.16e-004	-5.402e-002	4.772e-005	-3.54e-004	2.16e-004	-5.406e-002	4.627e-005	-3.1e-004	2.04e-004	-5.406e-002	3.176e-005	-2.39e-004	9.16e-005	-5.399e-002	4.981e-005	1.5e-003	1.54e-004	-5.345e-002	1.594e-005	4.15e-003	5.08e-005	-3.892e-002	1.497e-005	-0.4	1e-004	3	3	3	3	
